#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Ga0485799_0290_18    -            123 1776954at2           -             71   6.1e-19   67.5   1.4   1   1   5.1e-21     2e-17   62.6   1.4     1    70     2    92     2    93 0.85 # 13545 # 13913 # -1 # ID=290_18;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.436
Ga0485799_0133_2     -            206 1776954at2           -             71       1.9    8.2  17.0   4   9     0.037   1.5e+02    2.2   0.0    57    70    81    94    74    95 0.86 # 604 # 1221 # -1 # ID=133_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.453
Ga0485799_0133_2     -            206 1776954at2           -             71       1.9    8.2  17.0   5   9     0.066   2.6e+02    1.4   0.0    58    70    93   105    91   106 0.83 # 604 # 1221 # -1 # ID=133_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.453
Ga0485799_0133_2     -            206 1776954at2           -             71       1.9    8.2  17.0   6   9     0.019        72    3.1   0.1    57    70   103   116   101   117 0.84 # 604 # 1221 # -1 # ID=133_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.453
Ga0485799_0133_2     -            206 1776954at2           -             71       1.9    8.2  17.0   7   9     0.057   2.2e+02    1.6   0.1    57    69   125   137   122   139 0.82 # 604 # 1221 # -1 # ID=133_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.453
Ga0485799_0133_2     -            206 1776954at2           -             71       1.9    8.2  17.0   8   9     0.031   1.2e+02    2.4   0.1    57    70   136   149   134   150 0.83 # 604 # 1221 # -1 # ID=133_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.453
Ga0485799_0133_2     -            206 1776954at2           -             71       1.9    8.2  17.0   9   9      0.43   1.7e+03   -1.2   0.0    57    70   147   160   145   161 0.83 # 604 # 1221 # -1 # ID=133_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.453
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/mira/Bacteria2022/Thiomargarita_magnifica/qc_assembly/busco_article/busco_downloads/lineages/bacteria_odb10/hmms/1776954at2.hmm
# Target file:     /home/mira/Bacteria2022/Thiomargarita_magnifica/qc_assembly/busco_article/busco_article/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/mira/Bacteria2022/Thiomargarita_magnifica/qc_assembly/busco_article/busco_article/auto_lineage/run_bacteria_odb10/hmmer_output/1776954at2.out --cpu 1 /home/mira/Bacteria2022/Thiomargarita_magnifica/qc_assembly/busco_article/busco_downloads/lineages/bacteria_odb10/hmms/1776954at2.hmm /home/mira/Bacteria2022/Thiomargarita_magnifica/qc_assembly/busco_article/busco_article/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/mira/Bacteria2022/Thiomargarita_magnifica/qc_assembly/busco_article
# Date:            Wed Jul 13 13:05:05 2022
# [ok]
