#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_4999_length_264_cov_0.791444_1     -             87 48934at2157          -            143   2.4e-12   47.0   0.0   1   1   1.1e-15   2.8e-12   46.8   0.0    41   113     7    81     3    86 0.88 # 3 # 263 # -1 # ID=4999_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.418
NODE_654_length_6846_cov_5.780322_7     -            285 48934at2157          -            143     0.003   17.5   0.0   2   2     3e-06    0.0079   16.2   0.0    78   121   185   228   169   236 0.86 # 4515 # 5369 # -1 # ID=654_7;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.344
NODE_258_length_15973_cov_87.230624_11  -            373 48934at2157          -            143    0.0051   16.8   0.0   1   2   7.4e-06      0.02   14.9   0.0    78   109   154   185   151   193 0.91 # 12051 # 13169 # -1 # ID=258_11;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.492
NODE_258_length_15973_cov_87.230624_11  -            373 48934at2157          -            143    0.0051   16.8   0.0   2   2       2.8   7.5e+03   -3.2   0.0   122   137   222   237   217   241 0.71 # 12051 # 13169 # -1 # ID=258_11;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.492
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/mira/Bacteria2022/Thiomargarita_magnifica/qc_assembly/busco_results/busco_downloads/lineages/archaea_odb10/hmms/48934at2157.hmm
# Target file:     /home/mira/Bacteria2022/Thiomargarita_magnifica/qc_assembly/busco_results/busco_results/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/mira/Bacteria2022/Thiomargarita_magnifica/qc_assembly/busco_results/busco_results/auto_lineage/run_archaea_odb10/hmmer_output/48934at2157.out --cpu 1 /home/mira/Bacteria2022/Thiomargarita_magnifica/qc_assembly/busco_results/busco_downloads/lineages/archaea_odb10/hmms/48934at2157.hmm /home/mira/Bacteria2022/Thiomargarita_magnifica/qc_assembly/busco_results/busco_results/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/mira/Bacteria2022/Thiomargarita_magnifica/qc_assembly/busco_results
# Date:            Tue Jul 12 12:51:49 2022
# [ok]
