# BUSCO version is: 5.3.2 
# The lineage dataset is: bacteria_odb10 (Creation date: 2020-03-06, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
1054741at2	Complete	NODE_80_length_28917_cov_80.111685	7421	8509	-	436.9	326	https://www.orthodb.org/v10?query=1054741at2	tRNA 2-thiouridine(34) synthase MnmA
1069591at2	Complete	NODE_32_length_44052_cov_102.160569	21875	22831	+	161.7	188	https://www.orthodb.org/v10?query=1069591at2	tRNA dimethylallyltransferase
1074831at2	Complete	NODE_59_length_33340_cov_59.727114	2577	4271	-	305.2	409	https://www.orthodb.org/v10?query=1074831at2	DNA repair protein RecN
1080436at2	Duplicated	NODE_21_length_50633_cov_89.725532	308	1366	+	380.2	263	https://www.orthodb.org/v10?query=1080436at2	Protein RecA
1080436at2	Duplicated	NODE_897_length_4446_cov_6.094987	3228	4247	+	377.2	260	https://www.orthodb.org/v10?query=1080436at2	Protein RecA
1093223at2	Complete	NODE_338_length_13040_cov_64.640130	8212	9561	-	324.1	352	https://www.orthodb.org/v10?query=1093223at2	UDP-N-acetylmuramoylalanine-D-glutamate ligase
1132353at2	Duplicated	NODE_14_length_56554_cov_106.661384	22600	23235	-	208.4	160	https://www.orthodb.org/v10?query=1132353at2	K Homology domain
1132353at2	Duplicated	NODE_371_length_11804_cov_4.094398	6971	7672	-	184.0	160	https://www.orthodb.org/v10?query=1132353at2	K Homology domain
1151822at2	Complete	NODE_98_length_26888_cov_98.135131	2157	3242	-	287.4	263	https://www.orthodb.org/v10?query=1151822at2	Phospho-N-acetylmuramoyl-pentapeptide-transferase
1166299at2	Complete	NODE_76_length_29591_cov_91.055804	13466	14365	+	117.5	125	https://www.orthodb.org/v10?query=1166299at2	tRNA pseudouridine synthase B
1211060at2	Duplicated	NODE_149_length_22071_cov_178.576930	10682	11302	+	201.3	162	https://www.orthodb.org/v10?query=1211060at2	30S ribosomal protein S4
1211060at2	Duplicated	NODE_633_length_7059_cov_4.111859	5678	6304	-	187.5	163	https://www.orthodb.org/v10?query=1211060at2	30S ribosomal protein S4
1257362at2	Complete	NODE_510_length_9066_cov_82.775503	434	1438	-	250.5	234	https://www.orthodb.org/v10?query=1257362at2	tRNA N6-adenosine threonylcarbamoyltransferase
1266295at2	Complete	NODE_67_length_30798_cov_68.305849	12086	12838	+	330.0	246	https://www.orthodb.org/v10?query=1266295at2	Triosephosphate isomerase
1270636at2	Complete	NODE_14_length_56554_cov_106.661384	25756	26409	-	175.0	160	https://www.orthodb.org/v10?query=1270636at2	50S ribosomal protein L3
1272633at2	Duplicated	NODE_98_length_26888_cov_98.135131	6330	7259	-	132.1	161	https://www.orthodb.org/v10?query=1272633at2	16S rRNA (cytosine(1402)-N(4))-methyltransferase
1272633at2	Duplicated	NODE_657_length_6793_cov_3.999404	4251	5156	-	113.8	159	https://www.orthodb.org/v10?query=1272633at2	16S rRNA (cytosine(1402)-N(4))-methyltransferase
1346419at2	Complete	NODE_115_length_25419_cov_6.883514	18962	20182	-	227.0	295	https://www.orthodb.org/v10?query=1346419at2	phosphopantothenoylcysteine decarboxylase
1395197at2	Duplicated	NODE_232_length_16999_cov_116.013533	10420	11754	-	127.0	180	https://www.orthodb.org/v10?query=1395197at2	Zinc metalloprotease
1395197at2	Duplicated	NODE_370_length_11823_cov_8.180998	6769	7815	-	120.9	166	https://www.orthodb.org/v10?query=1395197at2	Zinc metalloprotease
1398618at2	Duplicated	NODE_149_length_22071_cov_178.576930	5326	5868	+	146.1	137	https://www.orthodb.org/v10?query=1398618at2	50S ribosomal protein L6
1398618at2	Duplicated	NODE_371_length_11804_cov_4.094398	3775	4308	-	135.1	137	https://www.orthodb.org/v10?query=1398618at2	50S ribosomal protein L6
1419877at2	Complete	NODE_18_length_54583_cov_105.176054	25072	26088	-	281.0	256	https://www.orthodb.org/v10?query=1419877at2	glycerol-3-phosphate dehydrogenase
1456375at2	Complete	NODE_149_length_22071_cov_178.576930	4048	4590	+	218.1	141	https://www.orthodb.org/v10?query=1456375at2	50S ribosomal protein L5
1470978at2	Complete	NODE_152_length_21680_cov_89.291163	7437	7961	-	88.5	106	https://www.orthodb.org/v10?query=1470978at2	50S ribosomal protein L10
1490892at2	Complete	NODE_2155_length_795_cov_76.285515	3	623	+	44.8	74	https://www.orthodb.org/v10?query=1490892at2	16S rRNA (uracil(1498)-N(3))-methyltransferase
1491686at2	Duplicated	NODE_827_length_4883_cov_84.420308	539	1192	+	140.5	129	https://www.orthodb.org/v10?query=1491686at2	adenylate kinase
1491686at2	Duplicated	NODE_1131_length_2944_cov_11.547960	190	837	-	139.2	129	https://www.orthodb.org/v10?query=1491686at2	adenylate kinase
1497415at2	Complete	NODE_63_length_32294_cov_98.943011	11754	12239	-	41.1	56	https://www.orthodb.org/v10?query=1497415at2	Ribosome maturation factor RimM
1502854at2	Duplicated	NODE_134_length_23541_cov_110.436072	14724	15338	-	260.2	187	https://www.orthodb.org/v10?query=1502854at2	guanylate kinase
1502854at2	Duplicated	NODE_997_length_3712_cov_8.114014	1557	2183	-	228.3	185	https://www.orthodb.org/v10?query=1502854at2	guanylate kinase
1504821at2	Complete	NODE_143_length_22629_cov_71.935394	8300	9217	+	196.3	216	https://www.orthodb.org/v10?query=1504821at2	Riboflavin biosynthesis protein
1505038at2	Duplicated	NODE_149_length_22071_cov_178.576930	6425	6940	+	210.1	147	https://www.orthodb.org/v10?query=1505038at2	30S ribosomal protein S5
1505038at2	Duplicated	NODE_371_length_11804_cov_4.094398	2951	3394	-	192.5	130	https://www.orthodb.org/v10?query=1505038at2	30S ribosomal protein S5
1540940at2	Complete	NODE_14_length_56554_cov_106.661384	29163	29633	-	195.7	133	https://www.orthodb.org/v10?query=1540940at2	30S ribosomal protein S7
1567535at2	Complete	NODE_149_length_22071_cov_178.576930	8214	9542	+	352.1	304	https://www.orthodb.org/v10?query=1567535at2	Protein translocase subunit SecY
1572673at2	Duplicated	NODE_14_length_56554_cov_106.661384	25128	25739	-	112.9	98	https://www.orthodb.org/v10?query=1572673at2	50S ribosomal protein L4
1572673at2	Duplicated	NODE_371_length_11804_cov_4.094398	9423	10025	-	96.1	91	https://www.orthodb.org/v10?query=1572673at2	50S ribosomal protein L4
1574817at2	Complete	NODE_319_length_13807_cov_115.198689	7120	7548	+	130.3	138	https://www.orthodb.org/v10?query=1574817at2	Transcription antitermination protein NusB
1590629at2	Complete	NODE_746_length_5702_cov_11.001956	4650	5249	-	39.0	75	https://www.orthodb.org/v10?query=1590629at2	Ribosomal RNA small subunit methyltransferase G
1592033at2	Complete	NODE_32_length_44052_cov_102.160569	23267	24544	+	492.1	379	https://www.orthodb.org/v10?query=1592033at2	GTPase HflX
1595498at2	Complete	NODE_407_length_11154_cov_10.880563	6834	7283	+	36.3	37	https://www.orthodb.org/v10?query=1595498at2	Ribosome maturation factor RimP
1623045at2	Duplicated	NODE_325_length_13499_cov_78.519520	134	886	-	264.6	187	https://www.orthodb.org/v10?query=1623045at2	30S ribosomal protein S2
1623045at2	Duplicated	NODE_126_length_24396_cov_8.516798	999	1784	-	242.7	185	https://www.orthodb.org/v10?query=1623045at2	30S ribosomal protein S2
1661836at2	Complete	NODE_354_length_12509_cov_6.346766	6573	7148	-	79.2	145	https://www.orthodb.org/v10?query=1661836at2	recombination protein RecR
1666043at2	Complete	NODE_14_length_56554_cov_106.661384	23247	23579	-	112.4	85	https://www.orthodb.org/v10?query=1666043at2	50S ribosomal protein L22
1671455at2	Duplicated	NODE_152_length_21680_cov_89.291163	8163	8852	-	213.5	161	https://www.orthodb.org/v10?query=1671455at2	50S ribosomal protein L1
1671455at2	Duplicated	NODE_124_length_24743_cov_6.685640	3310	4002	+	210.1	164	https://www.orthodb.org/v10?query=1671455at2	50S ribosomal protein L1
1674344at2	Complete	NODE_232_length_16999_cov_116.013533	15472	16038	-	153.2	134	https://www.orthodb.org/v10?query=1674344at2	ribosome recycling factor
1676462at2	Duplicated	NODE_283_length_14935_cov_75.044353	2892	3449	-	135.0	115	https://www.orthodb.org/v10?query=1676462at2	Peptidyl-tRNA hydrolase
1676462at2	Duplicated	NODE_1723_length_1319_cov_4.606280	830	1318	+	133.5	108	https://www.orthodb.org/v10?query=1676462at2	Peptidyl-tRNA hydrolase
1692188at2	Complete	NODE_149_length_22071_cov_178.576930	4918	5310	+	200.8	129	https://www.orthodb.org/v10?query=1692188at2	30S ribosomal protein S8
1698718at2	Duplicated	NODE_63_length_32294_cov_98.943011	10406	10771	-	125.4	88	https://www.orthodb.org/v10?query=1698718at2	50S ribosomal protein L19
1698718at2	Duplicated	NODE_599_length_7456_cov_6.361702	1418	1774	-	112.9	88	https://www.orthodb.org/v10?query=1698718at2	50S ribosomal protein L19
1701531at2	Complete	NODE_60_length_33138_cov_86.984544	25258	26121	-	171.3	147	https://www.orthodb.org/v10?query=1701531at2	ATP synthase gamma chain
1702697at2	Duplicated	NODE_152_length_21680_cov_89.291163	8853	9284	-	133.3	104	https://www.orthodb.org/v10?query=1702697at2	50S ribosomal protein L11
1702697at2	Duplicated	NODE_124_length_24743_cov_6.685640	2810	3235	+	113.9	104	https://www.orthodb.org/v10?query=1702697at2	50S ribosomal protein L11
1707228at2	Duplicated	NODE_14_length_56554_cov_106.661384	29658	30032	-	174.1	109	https://www.orthodb.org/v10?query=1707228at2	30S ribosomal protein S12
1707228at2	Duplicated	NODE_1853_length_1133_cov_6.942975	344	718	-	170.5	100	https://www.orthodb.org/v10?query=1707228at2	30S ribosomal protein S12
1713391at2	Duplicated	NODE_149_length_22071_cov_178.576930	10274	10663	+	152.5	96	https://www.orthodb.org/v10?query=1713391at2	30S ribosomal protein S11
1713391at2	Duplicated	NODE_633_length_7059_cov_4.111859	6315	6707	-	135.9	96	https://www.orthodb.org/v10?query=1713391at2	30S ribosomal protein S11
1720952at2	Duplicated	NODE_331_length_13411_cov_76.473976	12642	13109	+	193.8	141	https://www.orthodb.org/v10?query=1720952at2	SsrA-binding protein
1720952at2	Duplicated	NODE_246_length_16306_cov_6.151642	9815	10294	+	178.4	140	https://www.orthodb.org/v10?query=1720952at2	SsrA-binding protein
1758685at2	Missing
1760144at2	Complete	NODE_203_length_18535_cov_54.842670	2765	3238	-	92.9	84	https://www.orthodb.org/v10?query=1760144at2	translation initiation factor IF-3
1766414at2	Complete	NODE_268_length_15571_cov_90.366787	2519	2905	-	111.8	98	https://www.orthodb.org/v10?query=1766414at2	30S ribosomal protein S9
1772647at2	Complete	NODE_149_length_22071_cov_178.576930	9902	10261	+	139.0	97	https://www.orthodb.org/v10?query=1772647at2	30S ribosomal protein S13
1776954at2	Complete	NODE_36_length_43095_cov_111.927124	29437	29805	+	67.5	69	https://www.orthodb.org/v10?query=1776954at2	30S ribosomal protein S6
1786618at2	Duplicated	NODE_14_length_56554_cov_106.661384	22019	22432	-	152.5	102	https://www.orthodb.org/v10?query=1786618at2	50S ribosomal protein L16
1786618at2	Duplicated	NODE_371_length_11804_cov_4.094398	6543	6968	-	142.4	100	https://www.orthodb.org/v10?query=1786618at2	50S ribosomal protein L16
1799923at2	Duplicated	NODE_14_length_56554_cov_106.661384	21119	21487	-	131.1	103	https://www.orthodb.org/v10?query=1799923at2	50S ribosomal protein L14
1799923at2	Duplicated	NODE_371_length_11804_cov_4.094398	5729	6100	-	130.4	103	https://www.orthodb.org/v10?query=1799923at2	50S ribosomal protein L14
1822215at2	Complete	NODE_268_length_15571_cov_90.366787	2920	3351	-	163.0	111	https://www.orthodb.org/v10?query=1822215at2	50S ribosomal protein L13
1822695at2	Duplicated	NODE_124_length_24743_cov_6.685640	4810	5187	+	80.6	83	https://www.orthodb.org/v10?query=1822695at2	50S ribosomal protein L7/L12
1822695at2	Duplicated	NODE_152_length_21680_cov_89.291163	7038	7418	-	79.8	86	https://www.orthodb.org/v10?query=1822695at2	50S ribosomal protein L7/L12
1827295at2	Complete	NODE_804_length_5104_cov_87.676348	4361	4810	+	73.1	66	https://www.orthodb.org/v10?query=1827295at2	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
1827334at2	Complete	NODE_92_length_27478_cov_92.886026	3308	3856	-	97.0	96	https://www.orthodb.org/v10?query=1827334at2	methyltransferase
1830156at2	Complete	NODE_463_length_9959_cov_71.780510	1988	2455	+	81.2	76	https://www.orthodb.org/v10?query=1830156at2	Endoribonuclease YbeY
1838961at2	Complete	NODE_149_length_22071_cov_178.576930	12805	13188	+	100.1	82	https://www.orthodb.org/v10?query=1838961at2	50S ribosomal protein L17
1842956at2	Complete	NODE_1145_length_2851_cov_3.519106	1439	2074	-	25.8	71	https://www.orthodb.org/v10?query=1842956at2	biotin--
1844275at2	Duplicated	NODE_163_length_20780_cov_81.736560	5493	6458	-	176.0	181	https://www.orthodb.org/v10?query=1844275at2	aspartate carbamoyltransferase
1844275at2	Duplicated	NODE_1900_length_1073_cov_2.305221	128	1018	-	159.1	183	https://www.orthodb.org/v10?query=1844275at2	aspartate carbamoyltransferase
1846503at2	Duplicated	NODE_19_length_54395_cov_98.907231	26482	26994	+	129.7	105	https://www.orthodb.org/v10?query=1846503at2	pantetheine-phosphate adenylyltransferase
1846503at2	Duplicated	NODE_452_length_10110_cov_5.837536	6150	6638	+	120.9	105	https://www.orthodb.org/v10?query=1846503at2	pantetheine-phosphate adenylyltransferase
1874945at2	Complete	NODE_149_length_22071_cov_178.576930	7189	7620	+	71.5	76	https://www.orthodb.org/v10?query=1874945at2	50S ribosomal protein L15
1890943at2	Duplicated	NODE_520_length_8838_cov_8.233307	939	1607	+	71.1	100	https://www.orthodb.org/v10?query=1890943at2	ribonuclease III
1890943at2	Duplicated	NODE_273_length_15254_cov_91.901100	4801	5475	-	69.1	110	https://www.orthodb.org/v10?query=1890943at2	ribonuclease III
1893906at2	Duplicated	NODE_14_length_56554_cov_106.661384	23610	23894	-	133.7	71	https://www.orthodb.org/v10?query=1893906at2	30S ribosomal protein S19
1893906at2	Duplicated	NODE_371_length_11804_cov_4.094398	8003	8281	-	127.3	71	https://www.orthodb.org/v10?query=1893906at2	30S ribosomal protein S19
1904463at2	Duplicated	NODE_114_length_25449_cov_84.498266	15632	15904	+	124.6	67	https://www.orthodb.org/v10?query=1904463at2	50S ribosomal protein L27
1904463at2	Duplicated	NODE_689_length_6447_cov_3.553846	2069	2323	-	112.6	66	https://www.orthodb.org/v10?query=1904463at2	50S ribosomal protein L27
1906715at2	Complete	NODE_59_length_33340_cov_59.727114	6364	7104	+	36.6	71	https://www.orthodb.org/v10?query=1906715at2	Protein GrpE
1932144at2	Duplicated	NODE_203_length_18535_cov_54.842670	2050	2406	-	124.1	92	https://www.orthodb.org/v10?query=1932144at2	50S ribosomal protein L20
1932144at2	Duplicated	NODE_641_length_6987_cov_4.628220	6159	6518	+	117.3	92	https://www.orthodb.org/v10?query=1932144at2	50S ribosomal protein L20
1937072at2	Duplicated	NODE_63_length_32294_cov_98.943011	12273	12731	-	107.1	68	https://www.orthodb.org/v10?query=1937072at2	30S ribosomal protein S16
1937072at2	Duplicated	NODE_339_length_12999_cov_5.707708	10450	10683	+	94.4	66	https://www.orthodb.org/v10?query=1937072at2	30S ribosomal protein S16
1937493at2	Complete	NODE_60_length_33138_cov_86.984544	29486	30022	-	137.0	159	https://www.orthodb.org/v10?query=1937493at2	ATP synthase subunit delta
1940575at2	Duplicated	NODE_36_length_43095_cov_111.927124	29857	30090	+	87.2	47	https://www.orthodb.org/v10?query=1940575at2	30S ribosomal protein S18
1940575at2	Duplicated	NODE_801_length_5165_cov_6.445362	1531	1788	-	75.2	46	https://www.orthodb.org/v10?query=1940575at2	30S ribosomal protein S18
1949059at2	Complete	NODE_689_length_6447_cov_3.553846	2334	2633	-	110.9	99	https://www.orthodb.org/v10?query=1949059at2	50S ribosomal protein L21
1959318at2	Duplicated	NODE_36_length_43095_cov_111.927124	30102	30548	+	80.3	104	https://www.orthodb.org/v10?query=1959318at2	Ribosomal protein L9
1959318at2	Duplicated	NODE_274_length_15220_cov_6.768408	3284	3730	-	75.6	100	https://www.orthodb.org/v10?query=1959318at2	Ribosomal protein L9
1963491at2	Complete	NODE_149_length_22071_cov_178.576930	5877	6221	+	131.3	102	https://www.orthodb.org/v10?query=1963491at2	50S ribosomal protein L18
1971380at2	Complete	NODE_76_length_29591_cov_91.055804	13108	13446	+	124.7	109	https://www.orthodb.org/v10?query=1971380at2	ribosome-binding factor A
1978865at2	Complete	NODE_14_length_56554_cov_106.661384	24835	25131	-	105.9	91	https://www.orthodb.org/v10?query=1978865at2	50S ribosomal protein L23
1990141at2	Duplicated	NODE_1213_length_2587_cov_4.597211	2074	2346	-	103.2	65	https://www.orthodb.org/v10?query=1990141at2	30S ribosomal protein S15
1990141at2	Duplicated	NODE_76_length_29591_cov_91.055804	14380	14649	+	99.7	64	https://www.orthodb.org/v10?query=1990141at2	30S ribosomal protein S15
1990650at2	Complete	NODE_140_length_22907_cov_98.809286	11292	11645	-	87.6	78	https://www.orthodb.org/v10?query=1990650at2	Ribosomal silencing factor RsfS
2005443at2	Complete	NODE_423_length_10757_cov_50.703371	5083	5349	+	68.3	74	https://www.orthodb.org/v10?query=2005443at2	30S ribosomal protein S20
2012682at2	Duplicated	NODE_14_length_56554_cov_106.661384	26595	26906	-	136.2	87	https://www.orthodb.org/v10?query=2012682at2	30S ribosomal protein S10
2012682at2	Duplicated	NODE_371_length_11804_cov_4.094398	10609	10923	-	115.9	87	https://www.orthodb.org/v10?query=2012682at2	30S ribosomal protein S10
2035880at2	Complete	NODE_14_length_56554_cov_106.661384	21554	21823	-	80.9	55	https://www.orthodb.org/v10?query=2035880at2	30S ribosomal protein S17
2040741at2	Complete	NODE_14_length_56554_cov_106.661384	20786	21103	-	56.1	52	https://www.orthodb.org/v10?query=2040741at2	50S ribosomal protein L24
2046660at2	Duplicated	NODE_641_length_6987_cov_4.628220	5860	6057	+	37.0	30	https://www.orthodb.org/v10?query=2046660at2	50S ribosomal protein L35
2046660at2	Duplicated	NODE_203_length_18535_cov_54.842670	2423	2620	-	35.4	33	https://www.orthodb.org/v10?query=2046660at2	50S ribosomal protein L35
2063644at2	Complete	NODE_14_length_56554_cov_106.661384	21816	22019	-	47.4	34	https://www.orthodb.org/v10?query=2063644at2	50S ribosomal protein L29
2066663at2	Duplicated	NODE_146_length_22397_cov_84.635394	4481	4699	+	90.9	56	https://www.orthodb.org/v10?query=2066663at2	translation initiation factor IF-1
2066663at2	Duplicated	NODE_371_length_11804_cov_4.094398	282	500	-	78.1	49	https://www.orthodb.org/v10?query=2066663at2	translation initiation factor IF-1
2075502at2	Complete	NODE_163_length_20780_cov_81.736560	6948	7337	-	48.4	47	https://www.orthodb.org/v10?query=2075502at2	Putative pre-16S rRNA nuclease
